iteration,baseline,sparse_noKL,dense_noKL,sparse_KL,dense_KL
0,30.00,30.00,30.00,30.00,30.00
1,,20.00,32.00,30.00,30.00
2,,13.00,38.00,30.00,33.00
3,,8.00,46.00,30.00,36.00
4,,2.00,55.00,30.00,38.00
5,,2.00,63.00,30.00,40.00
6,,2.00,63.00,30.00,40.00
7,,0.00,60.00,30.00,40.00
8,,0.00,57.00,30.00,39.00
