iteration,baseline,sparse_noKL,dense_noKL,sparse_KL,dense_KL
0,20.00,20.00,20.00,20.00,20.00
1,,12.00,22.00,20.00,20.00
2,,9.00,28.00,20.00,22.00
3,,4.00,35.00,20.00,25.00
4,,0.00,42.00,20.00,27.00
5,,0.00,51.00,20.00,28.00
6,,0.00,49.00,20.00,28.00
7,,0.00,46.00,20.00,27.00
8,,0.00,43.00,20.00,26.00
