iteration,baseline,sparse_noKL,dense_noKL,sparse_KL,dense_KL
0,100.00,100.00,100.00,100.00,100.00
1,,88.00,95.00,95.00,97.00
2,,73.00,90.00,95.00,95.00
3,,53.00,85.00,90.00,93.00
4,,33.00,78.00,90.00,90.00
5,,18.00,72.00,90.00,88.00
6,,8.00,68.00,85.00,87.00
7,,5.00,64.00,85.00,85.00
8,,5.00,60.00,85.00,85.00
